PC1,PC2,PC3,PC4,Tissue,age
0.6784141718869711,-60.17012955024388,63.51546500221676,-6.3445493871774525,Muscle,50-59
-2.2301456300905733,-69.02923345576235,61.28089079554077,-11.739744050015751,Muscle,50-59
-14.946836771135313,-84.85866668099916,62.10994499953188,11.21381044892259,Muscle,30-39
-17.362758366587304,-81.9037978658978,63.51910305164758,3.5598152366732663,Muscle,60-69
-11.670633845799356,-79.90897264180387,68.82444073530796,-1.449271199509526,Muscle,60-69
-2.9905761749446045,-74.46397424312003,73.65644532591162,-7.357011416622182,Muscle,60-69
-12.459298485529837,-83.2044291269364,63.14272898154887,6.850645710286027,Muscle,60-69
-16.518991398270007,-78.9922969097007,66.89343940182269,-10.351889332421054,Muscle,50-59
-14.122397948490857,-77.04129178308517,62.0352426520105,2.7961802127995536,Muscle,40-49
-16.272362594338688,-81.66783863683769,64.5818575920821,5.851006750137297,Muscle,30-39
-10.339080113100007,-77.6538225691144,64.17180769773871,4.298696416068112,Muscle,40-49
-14.109793936054258,-90.08215873078107,69.01678346217462,1.0553386539083984,Muscle,50-59
-8.538110313805532,-78.15661997449503,62.53456252508031,-4.813627814062902,Muscle,50-59
-17.355597088825753,-79.39124296296407,64.19571381188491,4.887525987469348,Muscle,50-59
-14.463826888276882,-84.1058641538297,61.12318228769308,5.662667106032004,Muscle,40-49
-14.712035688281716,-78.35480957719658,61.79526297218548,12.127867207069006,Muscle,50-59
-15.036878403150077,-88.48252764162098,58.64759888870107,10.846286147930462,Muscle,40-49
-15.860462266111181,-88.24654016620849,65.42833190544134,8.054373257592085,Muscle,60-69
